Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
azacitidine,azacitidine,For the treatment of adult patients with all subtypes of Myelodysplastic Syndrome.,Treatment of pediatric patients aged one month and older with newly diagnosed juvenile myelomonocytic leukemia (JMML),04/29/2014,05/20/2022,100.0,azacitidine,Vidaza,Celgene Corporation (a Bristol-Myers Squibb Company),New Jersey,United States
fomepizole,fomepizole,"As an antidote for Ethylene glycol or Methanol used poisoning or for use in suspected Ethylene glycol or Methanol ingestion, either alone or in combination with hemodialysis.","As an antidote to ethylene glycol (antifreeze) poisoning, or for use in suspected ethylene glycol ingestion.",03/14/2016,12/04/1997,100.0,fomepizole,Antizole,"Par Pharmaceuticals, Inc",New York,United States
crizotinib,crizotinib,For the treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic lymphoma kinase (ALK) â?? positive as detected by an FDA-approved test.,Treatment of patients with metastatic NSCLC whose tumors are ROS1-positive,12/16/2011,03/11/2016,100.0,crizotinib,Xalkori,"Pfizer, Inc.",New York,United States
diazepam,diazepam (intranasal),,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient¿s usual seizure pattern in patients with epilepsy 6 years of age and older.",01/12/1977,01/10/2020,100.0,diazepam (intranasal),VALTOCO,"Neurelis Pharmaceuticals, Inc.",California,United States
cytarabine,Cytarabine liposomal,Anticancer indicated in the treatment of acue myeloid leukaemia,Intrathecal treatment of lymphomatous meningitis.,01/06/1980,04/01/1999,100.0,Cytarabine liposomal,DepoCyt,"Pacira Pharmaceuticals, Inc.",California,United States
raloxifene hydrochloride,raloxifene,For the treatment and prevention of post menopausal osteoporosis in women.,Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis and reduction in risk of invasive breast cancer in postmenopausal women at high risk for invasive breast cancer,04/05/2001,09/13/2007,100.0,raloxifene,Evista,Eli Lilly and Company,Indiana,United States
artesunate,artesunate,For the treatment of severe Falciparum malaria in areas where there is evidence if quinine resistance.,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,02/07/2014,05/26/2020,100.0,artesunate,,Amivas Inc.,Maryland,United States
dexrazoxane,dexrazoxane,Prevention of cardiotoxicity of doxorubicin containing chemotherapy regimens.,Treatment of extravasation resulting from IV anthracycline chemotherapy,02/26/2002,09/06/2007,100.0,dexrazoxane,Totect(r),"Clinigen, Inc.",Pennsylvania,United States
zidovudine,zidovudine,AIDS- Indicated in the treatment of short term management of serious manifestations of humam immuneno deficiency virus (HIV) infection in patients with AIDS.,Management of certain adult patients with symptomatic HIV infection (AIDS and advanced ARC) who have a history of cytologically confirmed Pneumocytis carinii pneumonia (PCP) or an absolute CD4 (T4 helper/induccer) lymphocyte count of less than 200/mm in the peripheral blood before therapy is begun,01/04/1988,03/19/1987,100.0,zidovudine,Retrovir,Glaxo Wellcome Inc.,North Carolina,United States
meloxicam,meloxicam,For the treatment of rheumatoid arthritis and soteoarthritis.,For relief of the signs and symptoms of pauciarticular or polyarticular course Juvenile Rheumatoid Arthritis in patients 2 years of age or older,02/16/1999,08/11/2005,100.0,meloxicam,Mobic,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
