Drug_Name_CDSCO,Drug_Name_FDA,Indication_CDSCO,Indication_FDA,CDSCO_Approval_Date,FDA_Marketing_Approval_Date,Match_Score,FDA_Generic_Name,FDA_Trade_Name,FDA_Sponsor_Company,FDA_Sponsor_State,FDA_Sponsor_Country
gonadorelin,Gonadorelin acetate,Control and induction prodecude in cattle and pig reproduction. Therapy of ovarian infertility disorders or dysfunctions of the reproductive organs in cattle and horses.,,06/15/2016,10/10/1989,100.0,Gonadorelin acetate,Lutrepulse,"Ferring Laboratories, Inc.",New York,United States
mitoxantrone,Mitoxantrone,,"Reducing neurologic disability and/or the frequency of clinical relapses in patients with secondary (chronic) progressive, progressive relapsing, or worsening relapsing-remitting multiple sclerosis (i.e., patients whose neurologic status is significantly adnormal between relapses).",01/03/1989,10/13/2000,100.0,Mitoxantrone,Novantrone,"Serono, Inc.",Massachusetts,United States
naltrexone hydrochloride,Naltrexone HCl,In the treatment of narcotic antagonist and alcohol dependence.,,11/10/1996,11/30/1984,100.0,Naltrexone HCl,Trexan,DuPont Pharmaceuticals,Delaware,United States
caffeine citrate,Caffeine,For the short treatment of apnoea of prematurity in infants between 28 and <33 weeks gestational age.,Short term treatment of apnea of prematurity in infants between 28 and less than 33 weeks gestational age.,07/21/2009,09/21/1999,100.0,Caffeine,Cafcit,"O.P.R. Development, L.P.",Kansas,United States
deferasirox,deferasirox,Treatment of chronic iron overload in patients with non-transfusion dependent thalassemia (NTDT) syndromes aged 10 years and older.,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.,09/26/2014,05/18/2017,100.0,deferasirox,Exjade; Jadenu Sprinkles,Novartis Pharmaceuticals Corporation,New Jersey,United States
artesunate,artesunate,,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,07/10/1996,05/26/2020,100.0,artesunate,,Amivas Inc.,Maryland,United States
altretamine,Altretamine,"For palliative treatment of patients with persistent or recurrent ovarian cancer, following first line therapy with cisplatin and/or alkylating agent based combination.",Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,03/29/1995,12/26/1990,100.0,Altretamine,Hexalen,"Medimmune Oncology, Inc.",Pennsylvania,United States
genotropin,Genotropin,Short stature due to inadequate or failed incretion of pituitary growth hormone.,,05/09/1994,10/31/1997,100.0,Somatropin,Genotropin,Pharmacia & Upjohn,Michigan,United States
temsirolimus,Temsirolimus,For the treatment of advanced renal cell carcinoma,Treatment of advanced renal cell carcinoma,12/15/2010,05/30/2007,100.0,Temsirolimus,Torisel,"Wyeth Pharmaceuticals, Inc.",Pennsylvania,United States
propranolol hydrochloride,propranolol,,Treatment of proliferating infantile hemangioma requiring systemic therapy.,01/09/1985,03/14/2014,100.0,propranolol,HEMANGEOL,Pierre Fabre Dermatologie,New Jersey,United States
pegaspargase,Pegaspargase,Indicated as a component of multi agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia who are hypersensitive to asparaginase.,ASPARLAS is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.,07/03/2014,12/20/2018,100.0,Pegaspargase,Oncaspar; Asparlas,Servier Pharmaceuticals LLC,Massachusetts,United States
lamotrigine,Lamotrigine,,Adjunctive treatment of Lennox-Gastaut syndrome in pediatric and adult patients.,01/21/2000,08/24/1998,100.0,Lamotrigine,Lamictal,Glaxo Wellcome Research and Development,North Carolina,United States
fomepizole,fomepizole,"As an antidote for Ethylene glycol or Methanol used poisoning or for use in suspected Ethylene glycol or Methanol ingestion, either alone or in combination with hemodialysis.","As an antidote to ethylene glycol (antifreeze) poisoning, or for use in suspected ethylene glycol ingestion.",03/14/2016,12/04/1997,100.0,fomepizole,Antizole,"Par Pharmaceuticals, Inc",New York,United States
diazepam,diazepam (intranasal),,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient¿s usual seizure pattern in patients with epilepsy 6 years of age and older.",01/12/1977,01/10/2020,100.0,diazepam (intranasal),VALTOCO,"Neurelis Pharmaceuticals, Inc.",California,United States
baclofen,baclofen,,"Treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. OZOBAX may also be of some value in patients with spinal cord injuries and other spinal cord diseases.",09/29/1995,09/18/2019,100.0,baclofen,OZOBAX,"Metacel Pharmaceuticals, LLC",Georgia,United States
hydroxyurea,hydroxyurea,,to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia with recurrent moderate to severe painful crises,01/04/2004,12/23/2024,100.0,hydroxyurea,Xromi,Nova Laboratories Limited,Wigston,United Kingdom
deferiprone,deferiprone,,Treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate,07/12/1994,10/14/2011,100.0,deferiprone,Ferriprox,"Chiesi USA, Inc.",North Carolina,United States
mitomycin-c,mitomycin-C,,An adjunct to ab externo glaucoma surgery.,01/12/1972,02/07/2012,100.0,mitomycin-C,Mitosol,"Mobius Therapeutics, LLC",Missouri,United States
paclitaxel,Paclitaxel,For the treatment of advanced gastric carcinoma.,For the second line treatment of AIDS-related Kaposi's sarcoma.,08/11/2008,08/04/1997,100.0,Paclitaxel,Taxol,Bristol-Myers Squibb Pharmaceutical Research Institute,Connecticut,United States
plerixafor,plerixafor,In combination with Granulocyte Colony Stimulating Factor (G-CSF) to enhance mobilisation of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous hematopoeitic stem cells transplantation in patients with non-Hodgkinâ??sÞ¡,To enhance mobilization of hematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma,01/31/2012,12/15/2008,100.0,plerixafor,Mozobil (r),Genzyme Corporation,Massachusetts,United States
megestrol acetate,Megestrol acetate,"For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of cancer or acquired immunodeficiency syndrome (AIDS).","Treatment of anorexia, cachexia, or an unexplained significant weight loss in patients with a diagnosis of acquired immune deficiency syndrome.",05/12/2012,09/10/1993,100.0,Megestrol acetate,Megace,Bristol-Myers Squibb Pharmaceutical Research Institute,Indiana,United States
glycopyrrolate,glycopyrrolate,,To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy),01/09/1979,07/28/2010,100.0,glycopyrrolate,Cuvposa,"Shionogi, Inc.",New Jersey,United States
panobinostat,panobinostat,"In combination with bortezomib and dexamethasone, is indicated for the treatment of patients with multiple myeloma, who received at least 1 prior therapy.","FARYDAK (panobinostat) in combination with bortezomib (BTZ) and dexamethasone (DEX) for the treatment of patients with multiple myeloma who have received at least 2 prior regimens, including bortezomib and an immunomodulatory agent",03/27/2016,02/23/2015,100.0,panobinostat,Farydak,zr pharma& GmbH,,Austria
cladribine,Cladribine,Anti cancer.,,07/07/2011,02/26/1993,100.0,Cladribine,Leustatin Injection,R. W. Johnson Pharmaceutical Research Institute,New Jersey,United States
ceritinib,ceritinib,For the treatment of patients withÂ anaplasticÂ lymphomaÂ kinaseÂ (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who haveÂ progressed on or are intolerant toÂ crizotinib.,Treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test,01/06/1980,05/26/2017,100.0,ceritinib,ZYKADIA,Novartis Pharmaceuticals Corp.,New Jersey,United States
exemestane,Exemestane,For Treatment of advanced breast cancer in post menopausal women whose disease has progressed following Tamoxifen therapy.,Treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.,05/10/2000,10/21/1999,100.0,Exemestane,Aromasin,Pharmacia & Upjohn,Michigan,United States
modafinil,Modafinil,By neurologists/psychiatrists/specialists only- to improve wakefulness in patients with excessive day time sleepiness associated with narcolepsy.,Improve wakefulness in patients with excessive daytime sleepiness associated with narcolepsy.,01/09/2004,12/24/1998,100.0,Modafinil,Provigil,"Cephalon, Inc.",Pennsylvania,United States
eliglustat,eliglustat,"For the long term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (Ems), intermediate metabolizers (Ims), or poor metabolizers (PMs) as detected by an appropriate test.","Long-term treatment of adult patients with Gaucher disease type 1 who are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs) as detected by an FDA-cleared test.",01/31/2017,08/19/2014,100.0,eliglustat,CERDELGA,Genzyme Corporation,Massachusetts,United States
rituximab (finished formulation import),rituximab,By cancer specialist-for the treatment of patients with relapsed or chemo resistant indolent B cell non-hodgkins lymphomas.,"Treatment of patients with relapsed or refractory low-grade or follicular, CD20 positive, B-cell non-Hodgkin's lymphoma",10/07/2000,11/26/1997,100.0,rituximab,Rituxan,"Genentech, Inc.",California,United States
bendamustine hydrochloride,bendamustine hydrochloride,For the use in Indolent B-cell NonHodgkin's Lymphoma (NHL) that has Progressed During or Within Six months of Treatment with Rituximab or a Rituximab containing Regimen.,Treatment of Indolent B-cell non-Hodgkin lymphoma (NHL) that has progressed during or within six months of treatment with rituximab or a rituximab-containing regimen.,05/18/2011,10/31/2008,100.0,bendamustine hydrochloride,Treanda,"Cephalon, Inc.",Pennsylvania,United States
carbamazepine,intravenous carbamazepine,,"Replacement therapy for oral carbamazepine formulations, when oral administration is temporarily not feasible, in adults with the following seizure types: (1) Partial seizures with complex symptomology; (2)Generalized tonic-clonic seizures; and (3) Mixed seizure patterns which include the above or other partial or generalized seizures",05/17/1993,10/07/2016,100.0,intravenous carbamazepine,CARNEXIV,Lundbeck LLC,North Carolina,United States
dabrafenib,dabrafenib,As a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test. In combination with Trametinib for the treatment of patients with unresectable or metastatic melanoma witÞ¡,Treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA approved test.,01/18/2017,05/29/2013,100.0,dabrafenib,TAFINLAR,Novartis Pharmaceuticals Corp.,New Jersey,United States
alectinib,alectinib,"For the treatment of patients with anaplastic lymphoma kinase (ALK)-Positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to Crizotinib.","adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test",01/23/2017,04/18/2024,100.0,alectinib,Alecensa,"Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)",California,United States
infliximab,infliximab,For treatment of moderate to severly active crohn's disease for the reduction of signs and symptoms in patients who have an inadequate response to conventional therapies.,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy,01/25/2000,09/23/2011,100.0,infliximab,Remicade,"Janssen Biotech, Inc.",Pennsylvania,United States
trametinib,trametinib,As a monotherapy and in combination with Dabrafenib for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an appropriate test.,Treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA approved test.,01/18/2017,05/29/2013,100.0,trametinib,MEKINIST,Novartis Pharmaceuticals Corp.,New Jersey,United States
basiliximab,Basiliximab,For the prophylaxis of acute organ rejection in de-novo transplantation & is to be used concomitantly with cyclosporin for microemulsion & corticosteroid immuno suppression.,Prophylaxis of acute organ rejection in patients receiving renal transplantation when used as part of an immunosuppressive regimen that includes cyclosporine and corticosteroids.,05/28/1999,05/12/1998,100.0,Basiliximab,Simulect,Novartis Pharmaceuticals Corporation,New Jersey,United States
riluzole,Riluzole,In the treatment of patients with amyotrophic later sclerosis (motor neurone disease).,Treatment of patients with amyotrophic lateral sclerosis. Riluzole extends survival and/or time to tracheostomy.,10/17/1997,12/12/1995,100.0,Riluzole,Rilutek,"Rhone-Poulenc Rorer Pharmaceuticals, Inc.",Pennsylvania,United States
rosuvastatin calcium,rosuvastatin,,"An adjunct to diet to reduce LDL-C, Total-C, nonHDL-C and ApoB in children and adolescents 7 to 17 years of age with homozygous familial hypercholesterolemia, either alone or with other lipid-lowering treatments (e.g., LDL apheresis).",06/25/2005,05/27/2016,100.0,rosuvastatin,Crestor,"iPR Pharmaceuticals, Inc.",Maryland,United States
pasireotide,pasireotide,"""For the treatment of adult patients with Cushingâ??s Disease for whom Pituitary surgery is not an option or has not been curative"".",Treatment of adult patients with Cushing's disease for whom pituitary surgery is not an option or has not been curative,03/18/2015,12/14/2012,100.0,pasireotide,Signifor,Novartis Pharmaceuticals Corporation,New Jersey,United States
pazopanib,pazopanib,For the treatment of patients with advanced Soft Tissue Sarcoma (STS) who have received prior chemotherapy.,Advanced soft tissue sarcoma (STS) who have received prior chemotherapy,02/23/2015,04/26/2012,100.0,pazopanib,Votrient,Novartis Pharmaceuticals Corp,New Jersey,United States
bosentan,bosentan,"For the treatment of pulmonary arterial hypertension (WHO Group I) in patients with WHO Class III or IV symptoms, to improve excercise ability and decrease the rate of clinical worsening.","Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",06/23/2009,09/05/2017,100.0,bosentan,Tracleer,Actelion Pharmaceuticals Ltd,New Jersey,United States
pirfenidone,pirfenidone,For the treatment of idiopathic pulmonary fibrosis.,Treatment of idiopathic pulmonary fibrosis,09/14/2010,10/15/2014,100.0,pirfenidone,ESBRIET,Genentech,California,United States
decitabine,decitabine,"For treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes(refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia wÞ¡","for treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups",04/28/2009,05/02/2006,100.0,decitabine,Dacogen,Otsuka Pharmaceutical Development,New Jersey,United States
fludarabine,Fludarabine phosphate,"For additional indication; for the treatment of V-cell chronic lymphocytic leukaemia (CLL) in patients with sufficient bone marrow, first time treatment with fludarabine oral should only be initiated in patients with adv.disease rai stages III/IV (Binet sÞ¡",,01/04/2005,04/18/1991,100.0,Fludarabine phosphate,Fludara,"Berlex Laboratories, Inc.",California,United States
pentosan polysulfate sodium,Pentosan polysulfate sodium,For the relief of bladder pain or discomfort associated with interstitial cystitis.,Relief of bladder pain or discomfort associated with interstitial cystitis.,11/05/2010,09/26/1996,100.0,Pentosan polysulfate sodium,Elmiron,Alza Corporation,California,United States
clonidine hydrochloride,Clonidine,,In combination with opiates for the treatment of severe pain in cancer patients that is not adequately relieved by opioid analgesics alone.,01/07/1975,10/02/1996,100.0,Clonidine,Duraclon,"Roxane Laboratories, Inc.",Ohio,United States
tacrolimus,Tacrolimus,For Prophylaxis of transplant rejection in adult kidney or liver allograft rejection.,Prophylaxis of organ rejection in patients receiving allogenic heart transplants.,05/24/2010,03/29/2006,100.0,Tacrolimus,Prograf,"Astellas Pharma US, Inc.",Illinois,United States
dasatinib,dasatinib,For the treatment of adults with chronic accelerated or myeloid or lymphoid blast phase chronic myeloid leukemai (CML).,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,08/30/2006,11/09/2017,100.0,dasatinib,Sprycel,Bristol-Myers Squibb Company,New Jersey,United States
sorafenib,Sorafenib,For the treatment of patients with advanced renal cell carcinoma.,Treatment of unresectable hepatocellular carcinoma,01/08/2007,11/16/2007,100.0,Sorafenib,Nexavar,Bayer Pharmaceuticals Corporation,Connecticut,United States
tretinoin,Tretinoin,,Induction of remission in patients with acute promyelocytic leukemia who are refractory to or unable to tolerate anthracycline based cytotoxic chemotherapeutic regimens.,01/07/1974,11/22/1995,100.0,Tretinoin,Vesanoid,"Hoffmann-La Roche, Inc.",New Jersey,United States
lenalidomide,lenalidomide,In combination with dexamethasone for the treatment of multiple myeloma patients who have received at least one prior therapy.,REVLIMID in combination with dexamethasone is indicated for the treatment of patients with multiple myeloma (MM).,04/22/2008,02/17/2015,100.0,lenalidomide,Revlimid,Celgene Corporation,New Jersey,United States
zinc sulphate,Zinc acetate,,For maintenance treatment of patients with Wilson's disease who have been initially treated with a chelating agent.,01/09/1978,01/28/1997,100.0,Zinc acetate,Galzin,"Eton Pharmaceuticals, Inc",Illinois,United States
trabectedin,trabectedin,"For the treatment of patients with advanced soft tissue sarcoma, after failure of anthracyclines and ifosfamide, or who are unsuited to recieve these agents.",For the treatment of patients with unresectable or metastatic liposarcoma or leiomyosarcoma who received a prior anthracycline-containing regimen,01/04/2009,10/23/2015,100.0,trabectedin,Yondelis,"Janssen Research & Development, LLC",New Jersey,United States
etidronate disodium,Etidronate disodium,Hypercalcemia induced by various malignant disorders.,,10/03/1995,04/21/1987,100.0,Etidronate disodium,Didronel,"MGI Pharma, Inc.",Minnesota,United States
afatinib,afatinib,For â??treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with Epidermal Growth Factor Receptor (EGFR) mutationâ?�,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test.,12/30/2014,01/12/2018,100.0,afatinib,Gilotrif,"Boehringer Ingelheim Pharmaceuticals, Inc.",Connecticut,United States
etanercept,etanercept,Reduction of signs & symptoms of moderate to severe active rheumatoid arthritis in patients who have had an inadequate response to one or more disease modifying antirheumatic drugs,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis (JIA) in patients ages 2 and older,07/12/2001,05/27/1999,100.0,etanercept,Enbrel,Immunex Corporation,California,United States
rifaximin,rifaximin,For Reduction in Risk of Overt Hepatic Encephalopathy (HE) Recurrence in Patients â?¥ 18 years of Age.,Reduction in the risk of overt hepatic encephalopathy (HE) recurrence in patients greater than or equal to 18 years of age,08/18/2011,03/24/2010,100.0,rifaximin,Xifaxan,"Salix Pharmaceuticals, Inc.",New Jersey,United States
